[2025-08-18 19:33:12,672] 17 root - INFO - Initiate the data ingestion
[2025-08-18 19:33:16,107] 63 root - INFO - Performed train test split on the dataframe
[2025-08-18 19:33:16,108] 65 root - INFO - Exited split_data_as_train_test method of Data_ingestion class
[2025-08-18 19:33:16,110] 71 root - INFO - Exporting train and test file path.
[2025-08-18 19:33:16,326] 79 root - INFO - Exported train and test file path.
[2025-08-18 19:33:16,328] 19 root - INFO - Data Initiated completed
[2025-08-18 19:33:16,363] 23 root - INFO - initiate the data validation
[2025-08-18 19:33:16,601] 31 root - INFO - Required number of columns:2
[2025-08-18 19:33:16,602] 32 root - INFO -  Dataframe has columns:31
[2025-08-18 19:33:16,602] 31 root - INFO - Required number of columns:2
[2025-08-18 19:33:16,602] 32 root - INFO -  Dataframe has columns:31
[2025-08-18 19:33:17,118] 25 root - INFO -  data validation completed
[2025-08-18 19:33:17,120] 28 root - INFO -  data Transformation Started
[2025-08-18 19:33:17,120] 46 root - INFO - Entered initiate_data_transformation method of Datatransformation class
[2025-08-18 19:33:17,120] 48 root - INFO - Starting data transformation
[2025-08-18 19:33:17,245] 30 root - INFO - Entered get_data_transformer_object method of transformation class
[2025-08-18 19:33:17,245] 35 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-08-18 19:33:17,295] 44 root - INFO - Entered the save_object method of Mainutils class
[2025-08-18 19:33:17,306] 48 root - INFO - Exited the save_object method of Mainutils class
[2025-08-18 19:33:17,317] 32 root - INFO -  data Transformation completed
[2025-08-18 19:33:17,318] 34 root - INFO - Model Training started
[2025-08-20 20:49:36,733] 44 root - INFO - Entered the save_object method of Mainutils class
[2025-08-20 20:49:36,757] 48 root - INFO - Exited the save_object method of Mainutils class
[2025-08-20 20:49:36,758] 44 root - INFO - Entered the save_object method of Mainutils class
[2025-08-20 20:49:36,998] 48 root - INFO - Exited the save_object method of Mainutils class
[2025-08-20 20:49:37,002] 100 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\08_18_2025_19_33_06\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9918864097363083, precision_score=0.9886777193691872, recall_score=0.9951159951159951), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9752396166134185, precision_score=0.9682791435368755, recall_score=0.9823008849557522))
[2025-08-20 20:49:37,025] 39 root - INFO - mODEL TRAINING ARTIFACT CREATED
